Respondent_ID,Date,State,Region,Age_Group,Gender,Candidate,Voting_Issue,Confidence_Level,Latitude,Longitude,Year,Month,Day,Weekday,Confidence_Category,Vote_Flag
1,2024-04-01 00:00:00,Bihar,Urban,35-44,Male,Candidate C,Inflation,2,25.0961,85.3131,2024,4,1,Monday,Medium,1
2,2024-04-01 01:00:00,Rajasthan,Urban,35-44,Male,Candidate C,Infrastructure,5,27.0238,74.2179,2024,4,1,Monday,High,1
3,2024-04-01 02:00:00,Punjab,Urban,35-44,Female,Candidate C,Education,3,31.1471,75.3412,2024,4,1,Monday,Medium,1
4,2024-04-01 03:00:00,Odisha,Rural,45+,Male,Candidate B,Inflation,2,20.9517,85.0985,2024,4,1,Monday,Medium,1
5,2024-04-01 04:00:00,Telangana,Rural,18-24,Male,Candidate A,Education,3,18.1124,79.0193,2024,4,1,Monday,Medium,1
6,2024-04-01 05:00:00,West Bengal,Urban,25-34,Male,Candidate A,Education,2,22.9868,87.855,2024,4,1,Monday,Medium,1
7,2024-04-01 06:00:00,Punjab,Urban,18-24,Female,Candidate B,Healthcare,5,31.1471,75.3412,2024,4,1,Monday,High,1
8,2024-04-01 07:00:00,Madhya Pradesh,Urban,25-34,Male,Candidate A,Inflation,3,22.9734,78.6569,2024,4,1,Monday,Medium,1
9,2024-04-01 08:00:00,Bihar,Urban,45+,Male,Candidate B,Infrastructure,3,25.0961,85.3131,2024,4,1,Monday,Medium,1
10,2024-04-01 09:00:00,Kerala,Urban,45+,Female,Candidate A,Education,3,10.8505,76.2711,2024,4,1,Monday,Medium,1
11,2024-04-01 10:00:00,Gujarat,Rural,45+,Female,Candidate A,Healthcare,2,22.2587,71.1924,2024,4,1,Monday,Medium,1
12,2024-04-01 11:00:00,Bihar,Urban,45+,Female,Candidate B,Inflation,4,25.0961,85.3131,2024,4,1,Monday,High,1
13,2024-04-01 12:00:00,Telangana,Rural,25-34,Male,Candidate B,Inflation,5,18.1124,79.0193,2024,4,1,Monday,High,1
14,2024-04-01 13:00:00,Telangana,Rural,35-44,Male,Candidate B,Jobs,3,18.1124,79.0193,2024,4,1,Monday,Medium,1
15,2024-04-01 14:00:00,West Bengal,Urban,25-34,Male,Candidate B,Jobs,4,22.9868,87.855,2024,4,1,Monday,High,1
16,2024-04-01 15:00:00,Madhya Pradesh,Rural,18-24,Female,Candidate A,Education,5,22.9734,78.6569,2024,4,1,Monday,High,1
17,2024-04-01 16:00:00,Rajasthan,Rural,45+,Male,Candidate A,Jobs,5,27.0238,74.2179,2024,4,1,Monday,High,1
18,2024-04-01 17:00:00,West Bengal,Urban,45+,Male,Candidate C,Education,3,22.9868,87.855,2024,4,1,Monday,Medium,1
19,2024-04-01 18:00:00,West Bengal,Urban,18-24,Female,Candidate B,Infrastructure,3,22.9868,87.855,2024,4,1,Monday,Medium,1
20,2024-04-01 19:00:00,Gujarat,Rural,25-34,Female,Candidate A,Education,2,22.2587,71.1924,2024,4,1,Monday,Medium,1
21,2024-04-01 20:00:00,Uttar Pradesh,Rural,35-44,Female,Candidate C,Jobs,4,26.8467,80.9462,2024,4,1,Monday,High,1
22,2024-04-01 21:00:00,Madhya Pradesh,Rural,35-44,Female,Candidate A,Infrastructure,4,22.9734,78.6569,2024,4,1,Monday,High,1
23,2024-04-01 22:00:00,Karnataka,Rural,18-24,Female,Candidate B,Jobs,3,15.3173,75.7139,2024,4,1,Monday,Medium,1
24,2024-04-01 23:00:00,West Bengal,Rural,35-44,Male,Candidate A,Education,5,22.9868,87.855,2024,4,1,Monday,High,1
25,2024-04-02 00:00:00,Andhra Pradesh,Rural,25-34,Female,Candidate B,Healthcare,3,15.9129,79.74,2024,4,2,Tuesday,Medium,1
26,2024-04-02 01:00:00,Haryana,Rural,25-34,Male,Candidate B,Inflation,5,29.0588,76.0856,2024,4,2,Tuesday,High,1
27,2024-04-02 02:00:00,Uttar Pradesh,Rural,18-24,Male,Candidate A,Jobs,5,26.8467,80.9462,2024,4,2,Tuesday,High,1
28,2024-04-02 03:00:00,Karnataka,Urban,25-34,Female,Candidate C,Education,3,15.3173,75.7139,2024,4,2,Tuesday,Medium,1
29,2024-04-02 04:00:00,Andhra Pradesh,Urban,45+,Female,Candidate A,Infrastructure,1,15.9129,79.74,2024,4,2,Tuesday,Low,1
30,2024-04-02 05:00:00,Madhya Pradesh,Rural,18-24,Female,Candidate A,Jobs,4,22.9734,78.6569,2024,4,2,Tuesday,High,1
31,2024-04-02 06:00:00,Maharashtra,Urban,25-34,Male,Candidate A,Jobs,5,19.7515,75.7139,2024,4,2,Tuesday,High,1
32,2024-04-02 07:00:00,Andhra Pradesh,Urban,18-24,Female,Candidate A,Inflation,5,15.9129,79.74,2024,4,2,Tuesday,High,1
33,2024-04-02 08:00:00,Kerala,Rural,35-44,Female,Candidate A,Education,1,10.8505,76.2711,2024,4,2,Tuesday,Low,1
